playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2553112","null","Jason Myers","K","JAC","K","JAC","-11.3","28.1","null","206.5","128","28","null","null","1.35","182","-54","0","28.1","28.1","5.6402","null",
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","-11.5567","105.72","null","98.5","129","42","null","null","4.16","110.91","18.09","3","105.72","105.72","4.123","null",
"2553648","null","Andrew Franks","K","MIA","K","MIA","-12.2","27.2","null","198.5","130","29","null","null","1.6","null","null","0","27.2","27.2","5.0305","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","-12.2493","249.93","null","139.4","131","17","null","null","2.602","143.72","-12.72","2.7","249.93","249.93","3.5712","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","-13.1","26.3","null","248","132","30","null","null","2.5","null","null","0","26.3","26.3","1.9819","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","-13.8453","248.334","null","137.8","133","18","null","null","2.37","142.89","-9.89","3.2","248.334","248.334","3.7334","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","-13.9567","113.52","null","104","134","35","null","null","5.07","113.81","20.19","2.4","113.52","113.52","3.2879","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","-14.0133","96.64","null","140.5","135","10","null","null","1.385","113.23","21.77","2.5","96.64","96.64","4.6809","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","-14.0733","96.58","null","135.4","136","11","null","null","3.46","112.01","23.99","2.6","96.58","96.58","3.0953","null",
"2500351","null","Phil Dawson","K","SF","K","SF","-14.5","24.9","null","176.5","137","31","null","null","2.35","null","null","0","24.9","24.9","7.1035","null",
"2553432","null","Kevin White","WR","CHI","WR","CHI","-14.5467","102.73","null","96","138","43","null","null","2.425","108.39","29.61","3.1","102.73","102.73","4.001","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","-15.8573","246.322","null","135.3","139","19","null","null","1.307","123.54","15.46","3.6","246.322","246.322","3.2093","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","-16.5733","245.606","null","167.9","140","20","null","null","5.737","143.82","-3.82","2.7","245.606","245.606","2.9167","null",
"2534797","null","Greg Zuerlein","K","LA","K","LA","-16.7","22.7","null","183.5","141","32","null","null","1.9","null","null","0","22.7","22.7","6.9816","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","-16.7233","93.93","null","121.9","142","12","null","null","2.405","98.05","43.95","2","93.93","93.93","3.4166","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","-16.7767","110.7","null","83.4","143","36","null","null","7.19","82.24","60.76","2.9","110.7","110.7","4.262","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","-16.8867","100.39","null","104.5","144","44","null","null","0.51","128.83","15.17","1.6","100.39","100.39","5.2164","null",
"2550551","null","Travis Coons","K","CLE","K","CLE","-17","22.4","null","230","145","33","null","null","4.35","null","null","0","22.4","22.4","2.4697","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-17.0567","100.22","null","129.4","146","45","null","null","1.74","139.87","6.13","1.3","100.22","100.22","3.3398","null",
"2539336","null","Tavon Austin","WR","LA","WR","LA","-17.7367","99.54","null","113.7","147","46","null","null","2.515","104.73","42.27","1.6","99.54","99.54","3.9298","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-17.7553","244.424","null","125.4","148","21","null","null","10.437","126.39","21.61","2.6","244.424","244.424","8.4942","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","-18.3433","92.31","null","96.3","149","13","null","null","2.56","109.84","39.16","1.9","92.31","92.31","5.9834","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","-19.8567","97.42","null","114.5","150","47","null","null","1.44","136.23","13.77","1.4","97.42","97.42","3.5854","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","-19.9133","90.74","null","115.2","151","14","null","null","2.125","123.26","27.74","1.8","90.74","90.74","4.1453","null",
"2543533","null","Patrick Murray","K","CLE","K","CLE","-20.2","19.2","null","null","152","34","null","null","5.15","null","null","0","19.2","19.2","6.9816","null",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","-20.6467","96.63","null","123.3","153","48","null","null","2.395","131.44","21.56","1.3","96.63","96.63","3.7865","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-21.2767","106.2","null","101.5","154","37","null","null","6.77","106.17","47.83","1.4","106.2","106.2","3.987","null",
"2540148","null","Tyler Eifert","TE","CIN","TE","CIN","-21.8933","88.76","null","106.3","155","15","null","null","1.93","109.09","45.91","3.2","88.76","88.76","7.7466","null",
"2537931","null","Josh Gordon","WR","CLE","WR","CLE","-21.9467","95.33","null","90.5","156","49","null","null","2.87","90.87","65.13","5.2","95.33","95.33","3.2922","null",
